,movie,year,imdb,metascore,votes
239, Sugar Rush Online,2018,7.0,71,182K
240, Searching,2018,7.6,71,179K
241, The Nun,2018,5.3,46,169K
242, Roma,2018,7.7,96,169K
243, Halloween,2018,6.5,67,168K
244, The Ballad of Buster Scruggs,2018,7.2,79,167K
245, Soldado: The Soldier,2018,7.1,61,166K
246, Bad Times at the El Royale,2018,7.1,60,164K
247, A Simple Favor,2018,6.8,67,162K
248,Avengers: Infinity War,2018,8.4,68,1.2M
249,Black Panther,2018,7.3,88,834K
250,Spider-Man: Into the Spider-Verse,2018,8.4,87,665K
251,Deadpool 2,2018,7.6,66,642K
252,Bohemian Rhapsody,2018,7.9,49,589K
253,A Quiet Place,2018,7.5,82,580K
254,Green Book,2018,8.2,69,565K
255,Venom,2018,6.6,35,535K
256,Aquaman,2018,6.8,55,519K
257, Ready Player One,2018,7.4,64,483K
258, Ant-Man and the Wasp,2018,7.0,70,447K
259, A Star Is Born,2018,7.6,88,417K
260, Bird Box,2018,6.6,51,384K
261, Solo: A Star Wars Story,2018,6.9,62,378K
262, Mission: Impossible - Fallout,2018,7.7,87,377K
263, Hereditary,2018,7.3,87,375K
264, Annihilation,2018,6.8,79,359K
265, Jurassic World: Fallen Kingdom,2018,6.1,51,342K
266, Incredibles 2,2018,7.5,80,329K
267, Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,52,307K
268, BlacKkKlansman,2018,7.5,83,290K
269, Game Night,2018,6.9,66,255K
270, Ocean's Eight,2018,6.3,61,241K
271, The Favourite,2018,7.5,91,230K
272, Tomb Raider,2018,6.3,48,226K
273, The Meg,2018,5.7,46,207K
274, Upgrade,2018,7.5,67,206K
275, First Man,2018,7.3,84,202K
276, Red Sparrow,2018,6.6,53,201K
277, The Equalizer 2,2018,6.7,50,196K
278, Isle of Dogs,2018,7.8,82,190K
279, Crazy Rich Asians,2018,6.9,74,189K
280, Bumblebee,2018,6.7,66,187K
281, Rampage,2018,6.1,45,184K
282, Sugar Rush Online,2018,7.0,71,182K
283, Searching,2018,7.6,71,179K
284, The Nun,2018,5.3,46,169K
285, Roma,2018,7.7,96,169K
286, Halloween,2018,6.5,67,168K
287, The Ballad of Buster Scruggs,2018,7.2,79,167K
288, Soldado: The Soldier,2018,7.1,61,166K
289, Bad Times at the El Royale,2018,7.1,60,164K
290, A Simple Favor,2018,6.8,67,162K
291,Avengers: Infinity War,2018,8.4,68,1.2M
292,Black Panther,2018,7.3,88,834K
293,Spider-Man: Into the Spider-Verse,2018,8.4,87,665K
294,Deadpool 2,2018,7.6,66,642K
295,Bohemian Rhapsody,2018,7.9,49,589K
296,A Quiet Place,2018,7.5,82,580K
297,Green Book,2018,8.2,69,565K
298,Venom,2018,6.6,35,535K
299,Aquaman,2018,6.8,55,519K
300, Ready Player One,2018,7.4,64,483K
301, Ant-Man and the Wasp,2018,7.0,70,447K
302, A Star Is Born,2018,7.6,88,417K
303, Bird Box,2018,6.6,51,384K
304, Solo: A Star Wars Story,2018,6.9,62,378K
305, Mission: Impossible - Fallout,2018,7.7,87,377K
306, Hereditary,2018,7.3,87,375K
307, Annihilation,2018,6.8,79,359K
308, Jurassic World: Fallen Kingdom,2018,6.1,51,342K
309, Incredibles 2,2018,7.5,80,329K
310, Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,52,307K
311, BlacKkKlansman,2018,7.5,83,290K
312, Game Night,2018,6.9,66,255K
313, Ocean's Eight,2018,6.3,61,241K
314, The Favourite,2018,7.5,91,230K
315, Tomb Raider,2018,6.3,48,226K
316, The Meg,2018,5.7,46,207K
317, Upgrade,2018,7.5,67,206K
318, First Man,2018,7.3,84,202K
319, Red Sparrow,2018,6.6,53,201K
320, The Equalizer 2,2018,6.7,50,196K
321, Isle of Dogs,2018,7.8,82,190K
322, Crazy Rich Asians,2018,6.9,74,189K
323, Bumblebee,2018,6.7,66,187K
324, Rampage,2018,6.1,45,184K
325, Sugar Rush Online,2018,7.0,71,182K
326, Searching,2018,7.6,71,179K
327, The Nun,2018,5.3,46,169K
328, Roma,2018,7.7,96,169K
329, Halloween,2018,6.5,67,168K
330, The Ballad of Buster Scruggs,2018,7.2,79,167K
331, Soldado: The Soldier,2018,7.1,61,166K
332, Bad Times at the El Royale,2018,7.1,60,164K
333, A Simple Favor,2018,6.8,67,162K
334,Avengers: Infinity War,2018,8.4,68,1.2M
335,Black Panther,2018,7.3,88,834K
336,Spider-Man: Into the Spider-Verse,2018,8.4,87,665K
337,Deadpool 2,2018,7.6,66,642K
338,Bohemian Rhapsody,2018,7.9,49,589K
339,A Quiet Place,2018,7.5,82,580K
340,Green Book,2018,8.2,69,565K
341,Venom,2018,6.6,35,535K
342,Aquaman,2018,6.8,55,519K
343, Ready Player One,2018,7.4,64,483K
344, Ant-Man and the Wasp,2018,7.0,70,447K
345, A Star Is Born,2018,7.6,88,417K
346, Bird Box,2018,6.6,51,384K
347, Solo: A Star Wars Story,2018,6.9,62,378K
348, Mission: Impossible - Fallout,2018,7.7,87,377K
349, Hereditary,2018,7.3,87,375K
350, Annihilation,2018,6.8,79,359K
351, Jurassic World: Fallen Kingdom,2018,6.1,51,342K
352, Incredibles 2,2018,7.5,80,329K
353, Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,52,307K
354, BlacKkKlansman,2018,7.5,83,290K
355, Game Night,2018,6.9,66,255K
356, Ocean's Eight,2018,6.3,61,241K
357, The Favourite,2018,7.5,91,230K
358, Tomb Raider,2018,6.3,48,226K
359, The Meg,2018,5.7,46,207K
360, Upgrade,2018,7.5,67,206K
361, First Man,2018,7.3,84,202K
362, Red Sparrow,2018,6.6,53,201K
363, The Equalizer 2,2018,6.7,50,196K
364, Isle of Dogs,2018,7.8,82,190K
365, Crazy Rich Asians,2018,6.9,74,189K
366, Bumblebee,2018,6.7,66,187K
367, Rampage,2018,6.1,45,184K
368, Sugar Rush Online,2018,7.0,71,182K
369, Searching,2018,7.6,71,179K
370, The Nun,2018,5.3,46,169K
371, Roma,2018,7.7,96,169K
372, Halloween,2018,6.5,67,168K
373, The Ballad of Buster Scruggs,2018,7.2,79,167K
374, Soldado: The Soldier,2018,7.1,61,166K
375, Bad Times at the El Royale,2018,7.1,60,164K
376, A Simple Favor,2018,6.8,67,162K
377,Avengers: Infinity War,2018,8.4,68,1.2M
378,Black Panther,2018,7.3,88,834K
379,Spider-Man: Into the Spider-Verse,2018,8.4,87,665K
380,Deadpool 2,2018,7.6,66,642K
381,Bohemian Rhapsody,2018,7.9,49,589K
382,A Quiet Place,2018,7.5,82,580K
383,Green Book,2018,8.2,69,565K
384,Venom,2018,6.6,35,535K
385,Aquaman,2018,6.8,55,519K
386, Ready Player One,2018,7.4,64,483K
387, Ant-Man and the Wasp,2018,7.0,70,447K
388, A Star Is Born,2018,7.6,88,417K
389, Bird Box,2018,6.6,51,384K
390, Solo: A Star Wars Story,2018,6.9,62,378K
391, Mission: Impossible - Fallout,2018,7.7,87,377K
392, Hereditary,2018,7.3,87,375K
393, Annihilation,2018,6.8,79,359K
394, Jurassic World: Fallen Kingdom,2018,6.1,51,342K
395, Incredibles 2,2018,7.5,80,329K
396, Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,52,307K
397, BlacKkKlansman,2018,7.5,83,290K
398, Game Night,2018,6.9,66,255K
399, Ocean's Eight,2018,6.3,61,241K
400, The Favourite,2018,7.5,91,230K
401, Tomb Raider,2018,6.3,48,226K
402, The Meg,2018,5.7,46,207K
403, Upgrade,2018,7.5,67,206K
404, First Man,2018,7.3,84,202K
405, Red Sparrow,2018,6.6,53,201K
406, The Equalizer 2,2018,6.7,50,196K
407, Isle of Dogs,2018,7.8,82,190K
408, Crazy Rich Asians,2018,6.9,74,189K
409, Bumblebee,2018,6.7,66,187K
410, Rampage,2018,6.1,45,184K
411, Sugar Rush Online,2018,7.0,71,182K
412, Searching,2018,7.6,71,179K
413, The Nun,2018,5.3,46,169K
414, Roma,2018,7.7,96,169K
415, Halloween,2018,6.5,67,168K
416, The Ballad of Buster Scruggs,2018,7.2,79,167K
417, Soldado: The Soldier,2018,7.1,61,166K
418, Bad Times at the El Royale,2018,7.1,60,164K
419, A Simple Favor,2018,6.8,67,162K
420,Joker,2019,8.4,59,1.5M
421,Avengers: Endgame,2019,8.4,78,1.3M
422,Parasite,2019,8.5,97,949K
423,Once Upon a Time... in Hollywood,2019,7.6,84,841K
424,Knives Out,2019,7.9,82,770K
425,1917,2019,8.2,78,670K
426,Captain Marvel,2019,6.8,64,608K
427, Spider-Man: Far from Home,2019,7.4,69,553K
428, Star Wars: The Rise of Skywalker,2019,6.4,53,491K
429, Ford v Ferrari,2019,8.1,81,465K
430, Jojo Rabbit,2019,7.9,58,439K
431, The Irishman,2019,7.8,94,429K
432, John Wick: Chapter 3 - Parabellum,2019,7.4,73,423K
433, Midsommar,2019,7.1,72,399K
434, The Gentlemen,2019,7.8,51,391K
435, Shazam!,2019,7.0,71,383K
436, Marriage Story,2019,7.9,94,345K
437, Us,2019,6.8,81,339K
438, Uncut Gems,2019,7.4,93,316K
439, It Chapter Two,2019,6.5,58,300K
440, Alita: Battle Angel,2019,7.3,53,292K
441, El Camino: A Breaking Bad Movie,2019,7.3,72,290K
442, Aladdin,2019,6.9,53,289K
443, Jumanji: The Next Level,2019,6.7,58,281K
444, Toy Story 4,2019,7.7,84,279K
445, El hoyo,2019,7.0,73,270K
446, The Lion King,2019,6.8,55,266K
447, Glass,2019,6.6,43,266K
448, Ad Astra,2019,6.5,80,259K
449, The Lighthouse,2019,7.4,83,253K
450, Little Women,2019,7.8,91,243K
451, Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,235K
452, Doctor Sleep,2019,7.3,59,217K
453, Dark Phoenix,2019,5.7,43,204K
454, Godzilla: King of the Monsters,2019,6.0,48,204K
455, Zombieland: Double Tap,2019,6.7,55,201K
456, 6 Underground,2019,6.1,41,196K
457, Rocketman,2019,7.3,69,194K
458, Frozen II,2019,6.8,64,193K
459,Joker,2019,8.4,59,1.5M
460,Avengers: Endgame,2019,8.4,78,1.3M
461,Parasite,2019,8.5,97,949K
462,Once Upon a Time... in Hollywood,2019,7.6,84,841K
463,Knives Out,2019,7.9,82,770K
464,1917,2019,8.2,78,670K
465,Captain Marvel,2019,6.8,64,608K
466, Spider-Man: Far from Home,2019,7.4,69,553K
467, Star Wars: The Rise of Skywalker,2019,6.4,53,491K
468, Ford v Ferrari,2019,8.1,81,465K
469, Jojo Rabbit,2019,7.9,58,439K
470, The Irishman,2019,7.8,94,429K
471, John Wick: Chapter 3 - Parabellum,2019,7.4,73,423K
472, Midsommar,2019,7.1,72,399K
473, The Gentlemen,2019,7.8,51,391K
474, Shazam!,2019,7.0,71,383K
475, Marriage Story,2019,7.9,94,345K
476, Us,2019,6.8,81,339K
477, Uncut Gems,2019,7.4,93,316K
478, It Chapter Two,2019,6.5,58,300K
479, Alita: Battle Angel,2019,7.3,53,292K
480, El Camino: A Breaking Bad Movie,2019,7.3,72,290K
481, Aladdin,2019,6.9,53,289K
482, Jumanji: The Next Level,2019,6.7,58,281K
483, Toy Story 4,2019,7.7,84,279K
484, El hoyo,2019,7.0,73,270K
485, The Lion King,2019,6.8,55,266K
486, Glass,2019,6.6,43,266K
487, Ad Astra,2019,6.5,80,259K
488, The Lighthouse,2019,7.4,83,253K
489, Little Women,2019,7.8,91,243K
